"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C2","2","UHE2A470MPD","","","","footprints:PCAP_10x12_5-THRU-ELECT_NCA","UHE2A470MPD"
"C3","1","1000pf/3kV","","","","footprints:CAPC3216X180N",""
"D1","1","SS34B-HF","","","","footprints:DO214AASMB_CIP-L","SS34B-HF"
"J7","1","20-pin-straight","","","","footprints:20_pin_straight","XC5B-2021"
"LED1","1","COM-16347","","","","footprints:COM-16347_SPK","COM-16347"
"PS1","1","REC5A-2405SW_H2","","","","footprints:CONV_REC5A-2405SW_H2",""
"R7","1","CRL1206-FW-R330ELF","","","","footprints:RESC3216X70N",""
"R13,R14,R15,R16","4","CR1206-FX-1002ELF","","","","footprints:RESC3216X75N",""
"RF1,RF2","2","~","","","","footprints:PTC_RESET_FUSE",""
"S1","1","DS01C-254-S-03BE","","","","footprints:SW_DS01C-254-S-03BE",""
"S2","1","PB400EEQR1BLK","","","","footprints:SW_PB400EEQR1BLK",""
"U1","1","ESP32-DEVKITC-32D","","","","footprints:MODULE_ESP32-DEVKITC-32D",""
"U6","1","SH-7070TB","","","","footprints:SH-7070TB_7P1X7P3_NDC","SH-7070TB"
