"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C4","1","ECA1HM100","","","","footprints:CAPPRD200W50D500H1100",""
"C5","1","WCAP-ATG5_5X11","","","","footprints:WCAP-ATG5_5X11_DXL_",""
"J1","1","1757242","","","","footprints:PHOENIX_1757242",""
"J2","1","jst-power","","","","footprints:PHOENIX_1757255",""
"J3","1","JST -SM","","","","footprints:CONN_BM04B-SRSS-TB_SPK","PRT-16766"
"J6","1","20_pin_90","","","","footprints:20_pin_90","XC5A-2022"
"R1,R2,R3,R5,R6","5","CRGH1206J4K7","","","","footprints:RESC3115X65N",""
"R4","1","CRGH1206J4K7","","","","footprints:RESC3015X65N",""
"R9,R10,R11,R12,R17,R18","6","CR1206-FX-1002ELF","","","","footprints:RESC3216X75N",""
"R19","1","ERJP08J105V","","","","footprints:RES_ERJP08J105V",""
"R20,R22","2","CRG1206F470R","","","","footprints:RESC3115X65N",""
"R21","1","ERJP08J334V","","","","footprints:RES_ERJP08J334V",""
"U2","1","LTV-846S","","","","footprints:SOIC254P1016X460-16N",""
"U3","1","TLV272CDR","","","","footprints:D8","https://www.ti.com/lit/gpn/tlv272"
"U4","1","BAT46W","","","","footprints:SOD123F",""
"U5","1","BA&","","","","footprints:TO252-3_ROM","BA7815FP-E2"
