"Symbol";"Value";"Unit";
"REFERENCE";"1757255";"";
"ATT_0173_1_02_AAT080_002";"3";"";
"TraceParts.PartVersion";"1.2.2";"";
"SUPPLIER";"Phoenix Contact";"";
"ATT_0173_1_02_AAF726_003";"12";"";
"TraceParts.PartLanguage";"en";"";
"ATT_0173_1_02_AAP798_001";"IEC 61984";"";
"TraceParts.PartNumber";"10-22122020-111603";"";
"ATT_0173_1_02_AAB373_012";"without";"";
"ATT_0173_1_02_BAG640_011";"Wave soldering";"";
"ATT_0173_1_02_BAF016_006";"17.24";"";
"ATT_0173_1_02_BAC140_009";"V0";"";
"DESIGN";"PCB header";"";
"TraceParts.InstanceId";"10-22122020-111603X1YMYONTC0X39T1048BVL0YN";"";
"ATT_0173_1_02_AAO663_003";"4017918029784";"";
"TRACEPARTS";"TRACEPARTS";"";
"TraceParts.PartTitle";"MSTBA 2,5/ 3-G-5,08";"";
"ATT_0173_1_02_BAA097_015";"green";"";
"ATT_0173_1_02_BAC818_011";"plugged-in";"";
"ATT_0173_1_02_BAA020_010";"11.8";"";
"ATT_0173_1_02_BAB577_008";"12";"";
"ATT_0173_1_02_BAC487_015";"PA";"";
