"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C2","2","UHE2A470MPD","","","","footprints:PCAP_10x12_5-THRU-ELECT_NCA","UHE2A470MPD"
"C3","1","1000pf/3kV","","","","footprints:CAPC3216X180N",""
"D1","1","SS34B-HF","","","","footprints:DO214AASMB_CIP-L","SS34B-HF"
"J1","1","A-DF_09_A_KG-T4S","","","","footprints:ASSMANN_A-DF_09_A_KG-T4S",""
"J2","1","1757255","","","","footprints:PHOENIX_1757255",""
"PS1","1","REC5A-2405SW_H2","","","","footprints:CONV_REC5A-2405SW_H2",""
"R1,R2,R3,R5,R6,R7,R8","7","CRGH1206J4K7","","","","footprints:RESC3115X65N",""
"R4","1","CRGH1206J4K7","","","","footprints:RESC3015X65N",""
"R9,R10,R11,R12,R13,R14,R15,R16","8","CR1206-FX-1002ELF","","","","footprints:RESC3216X75N",""
"RF1,RF2","2","~","","","","footprints:PTC_RESET_FUSE",""
"S1","1","DRR3016","","","","footprints:DRR3010",""
"SW1","1","On/Off Switch","","","","footprints:SW","~"
"U1","1","ESP32-DEVKITC-32D","","","","footprints:MODULE_ESP32-DEVKITC-32D",""
"U2","1","LTV-846S","","","","footprints:SOIC254P1016X460-16N",""
