Reference,Qty,Value,Name,Value,Price Per
"C1,C5,C6",3,CL31A226KAHNNNE,Ceramic Capacitor,22  µF,$0.26 
"C2,C3",2,CL31B106KAHNNNE,Ceramic Capacitor,10 µF,$0.11 
D1,1,SS34B-HF,Schottky Diode,40V @ 3A,$0.27 
J1,1,A-DF 09 A/KG-T4S,D-SUB ,,$0.77 
L1,1,HPC6045NC-4R7M,Shielded Wirewound Inductor,4.7 µH,$0.11 
"R1,R2,R3,R4",4,CRGCQ1206F2K2,Chip Resistor 1206,2.2 kOhms,$0.10 
"R5,R6,R7,R8,R9,R15,R16,R17",8,CR1206-FX-1002ELF,Chip Resistor 1206,10 kOhms,$0.10 
R10,1,RC1206FR-07499KL,Chip Resistor 1206,499 kOhms,$0.10 
R11,1,RMCF1206FT10R0,Chip Resistor 1206,10 Ohms,$0.10 
R12,1,RMCF1206FT40K2,Chip Resistor 1206,40.2 kOhms,$0.10 
R13,1,RMCF1206FT7K50,Chip Resistor 1206,7.5 kOhms,$0.10 
R14,1,CRCW120620K0FKEAC,Chip Resistor 1206,20 kOhms,$0.10 
S1,1,DRR3016,Rot Switch,16 Pos Hex,$3.09 
U1,1,ESP32-DEVKITC-32D,ESP32,,
U2,1,LTV-846S,Optocoupler,4-Channel,$1.07 
U4,1,MP2315SGJ-Z,Buck Converter,,$2.92 
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,                                    Aa                                                         1111111111111111111111                                                                     ,,,,
